mechanism,missing_pct,method,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_precision_count,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_recall_count,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_f1_count,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_roc_auc_count
MCAR,30,median,0.7866666666666667,0.05700877125495694,0.7166666666666667,0.8666666666666667,5,0.6828947368421052,0.07808618996007403,0.6,0.7894736842105263,5,0.5894736842105263,0.18756347032847856,0.3157894736842105,0.7894736842105263,5,0.6243508365233571,0.14198532365827726,0.41379310344827586,0.7894736842105263,5,0.8308087291399229,0.09109456513578647,0.7394094993581515,0.9537869062901155,5
MNAR,10,iterative,0.82,0.06390096504226939,0.75,0.9,5,0.747422969187675,0.13221895312002394,0.5714285714285714,0.8823529411764706,5,0.6947368421052632,0.12565617248750863,0.5263157894736842,0.8421052631578947,5,0.710567971869599,0.09282824423598142,0.5882352941176471,0.8333333333333334,5,0.8889602053915275,0.052565003762262155,0.8344030808729139,0.9704749679075738,5
MNAR,10,knn,0.8400000000000001,0.05348935511960401,0.7833333333333333,0.9166666666666666,5,0.7803011204481793,0.12161206348001855,0.6071428571428571,0.9375,5,0.7263157894736842,0.12565617248750865,0.5789473684210527,0.8947368421052632,5,0.7422532133420744,0.07937524722429835,0.6470588235294118,0.8571428571428571,5,0.8910141206675224,0.04669067517549558,0.8421052631578947,0.9608472400513479,5
MNAR,10,mean,0.8400000000000001,0.06302556800396347,0.7666666666666667,0.9333333333333333,5,0.7648986720194151,0.10333318984728558,0.6538461538461539,0.8947368421052632,5,0.7263157894736842,0.17216239193469607,0.5263157894736842,0.8947368421052632,5,0.736594427244582,0.11615177593083856,0.5882352941176471,0.8947368421052632,5,0.8948652118100128,0.04801095604048168,0.8356867779204108,0.9685494223363286,5
MNAR,10,median,0.8366666666666667,0.06912147117775906,0.75,0.9333333333333333,5,0.7742618990916205,0.13221289035237335,0.5714285714285714,0.9411764705882353,5,0.7263157894736841,0.1412253459473551,0.5263157894736842,0.8421052631578947,5,0.7380191979740758,0.10305767714185537,0.625,0.8888888888888888,5,0.9,0.04549298094201184,0.855584082156611,0.972400513478819,5
MNAR,20,iterative,0.8,0.048591265790377515,0.75,0.8666666666666667,5,0.8062004662004663,0.15442689007790358,0.5909090909090909,1.0,5,0.5368421052631579,0.1639201210778678,0.3157894736842105,0.6842105263157895,5,0.6199371114299378,0.1148991434917953,0.48,0.7647058823529411,5,0.8548138639281129,0.04936478652542946,0.7817715019255456,0.9017971758664954,5
MNAR,20,knn,0.8,0.04999999999999998,0.75,0.85,5,0.74843837535014,0.08179923548764195,0.6666666666666666,0.8571428571428571,5,0.5473684210526316,0.1422026956432242,0.3684210526315789,0.6842105263157895,5,0.6271368379488513,0.1205703064610421,0.4827586206896552,0.7428571428571429,5,0.8691912708600771,0.0394002991523142,0.8010269576379975,0.8960205391527599,5
MNAR,20,mean,0.8,0.062360956446232345,0.75,0.8833333333333333,5,0.797943722943723,0.16610685626128496,0.5909090909090909,1.0,5,0.5473684210526315,0.1990281094862004,0.2631578947368421,0.7368421052631579,5,0.6188429535321747,0.15510841820705248,0.4166666666666667,0.8,5,0.8680359435173299,0.04312008891672072,0.8080872913992297,0.9152759948652118,5
MNAR,20,median,0.8,0.05137011669140812,0.7333333333333333,0.85,5,0.7429958326697458,0.10440713581866438,0.6153846153846154,0.8571428571428571,5,0.5789473684210527,0.17848236797698075,0.3684210526315789,0.7894736842105263,5,0.6368831168831168,0.1253653792993422,0.5,0.7428571428571429,5,0.8672657252888317,0.043246017894255466,0.803594351732991,0.9088575096277278,5
MNAR,30,iterative,0.8033333333333333,0.013944333775567924,0.7833333333333333,0.8166666666666667,5,0.8022222222222222,0.10233387622005832,0.65,0.8888888888888888,5,0.5368421052631579,0.12001846579990927,0.42105263157894735,0.6842105263157895,5,0.6280798771121352,0.05366838205968315,0.5714285714285714,0.6857142857142857,5,0.8245186136071887,0.05865034663326188,0.7432605905006417,0.8818998716302953,5
MNAR,30,knn,0.8033333333333333,0.04314059701848266,0.7333333333333333,0.85,5,0.7529761904761905,0.08057729982548148,0.6666666666666666,0.8333333333333334,5,0.5684210526315789,0.16392012107786774,0.3157894736842105,0.7368421052631579,5,0.6366513056835638,0.12202798235839359,0.42857142857142855,0.7428571428571429,5,0.8177150192554556,0.04735998408082673,0.7625160462130937,0.8575096277278562,5
MNAR,30,mean,0.7933333333333333,0.043461349368017696,0.7333333333333333,0.85,5,0.7379761904761905,0.08591906754498942,0.625,0.8125,5,0.5578947368421053,0.19194297398747864,0.3157894736842105,0.7894736842105263,5,0.6174987589261848,0.12706315447471994,0.42857142857142855,0.7428571428571429,5,0.8453145057766367,0.04745340279659694,0.7798459563543003,0.9069319640564826,5
MNAR,30,median,0.7966666666666666,0.029814239699997164,0.7666666666666667,0.8333333333333334,5,0.7628312863606981,0.07664621369021267,0.6818181818181818,0.8571428571428571,5,0.5473684210526316,0.18830046126314018,0.3157894736842105,0.7894736842105263,5,0.6155936001667709,0.11363002989733992,0.46153846153846156,0.7317073170731707,5,0.8242618741976893,0.044024913807269785,0.7599486521181,0.8671373555840821,5
