seed,mechanism,missing_pct,method,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
123,MAR,20,knn,239,60,12,0.6128242128242128,0.06467198205456783,0.9166666666666666,0.9375,0.7894736842105263,0.8571428571428571,0.9017971758664954,0.46809619999839924
123,MAR,20,iterative,239,60,12,0.6362089947089947,0.07395545472143882,0.9166666666666666,1.0,0.7368421052631579,0.8484848484848485,0.9165596919127085,0.4608183999953326
123,MAR,30,mean,239,60,12,0.5201513269339356,0.07614602387696746,0.7833333333333333,0.6875,0.5789473684210527,0.6285714285714286,0.8652118100128369,0.443956100003561
123,MAR,30,median,239,60,12,0.5564444444444445,0.06088402251437451,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8818998716302953,0.41033310000784695
123,MAR,30,knn,239,60,12,0.4913043478260869,0.029488391230979426,0.8333333333333334,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.8664955070603337,0.544173000002047
123,MAR,30,iterative,239,60,12,0.5052422360248447,0.08856403756849622,0.7833333333333333,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.8382541720154043,0.45948419999331236
123,MNAR,10,mean,239,60,12,0.6990783410138249,0.08961521515374819,0.9333333333333333,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9685494223363286,0.45698370001628064
123,MNAR,10,median,239,60,12,0.6743585434173669,0.08985652389113133,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.972400513478819,0.3856812000158243
123,MNAR,10,knn,239,60,12,0.6854817136886103,0.08182651245204438,0.9166666666666666,0.9375,0.7894736842105263,0.8571428571428571,0.9608472400513479,0.4262039000168443
123,MNAR,10,iterative,239,60,12,0.6739814814814814,0.06405400028092721,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9704749679075738,0.4395070999744348
123,MNAR,20,mean,239,60,12,0.6658277206664304,0.11924406757588193,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9152759948652118,0.4593041999905836
123,MNAR,20,median,239,60,12,0.6548717948717948,0.09812978297325121,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9056482670089859,0.45156470002257265
123,MNAR,20,knn,239,60,12,0.6728210180623974,0.10616053491113688,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8851091142490373,0.47948719997657463
123,MNAR,20,iterative,239,60,12,0.6600699778119133,0.12943163624298204,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8947368421052632,0.4473043000034522
123,MNAR,30,mean,239,60,12,0.5645811965811965,0.10209021004446904,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8658536585365854,0.5291238999925554
123,MNAR,30,median,239,60,12,0.4916744704570791,0.06357789936304804,0.7666666666666667,0.6923076923076923,0.47368421052631576,0.5625,0.8421052631578947,0.36388649998116307
123,MNAR,30,knn,239,60,12,0.5701678321678323,0.06069210388481389,0.8166666666666667,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8478818998716303,0.3834973000048194
123,MNAR,30,iterative,239,60,12,0.5037904124860647,0.1042243597759195,0.8166666666666667,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8594351732991015,0.480941999994684
2026,MCAR,10,mean,239,60,12,0.6805053642010164,0.052446095652031496,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.9216944801026957,0.45166099999914877
2026,MCAR,10,median,239,60,12,0.6910264607515246,0.06737189698692492,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.913992297817715,0.4661742000025697
2026,MCAR,10,knn,239,60,12,0.6834054211333314,0.05764491294903416,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.9249037227214377,0.33685870000044815
2026,MCAR,10,iterative,239,60,12,0.6885196046486369,0.05974127971393916,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.935173299101412,0.40634899999713525
2026,MCAR,20,mean,239,60,12,0.5521598401598402,0.11560797551549122,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8446726572528883,0.4726566000026651
2026,MCAR,20,median,239,60,12,0.5691264272338441,0.10036199628083727,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8780487804878049,0.4600662999728229
2026,MCAR,20,knn,239,60,12,0.5436118953510258,0.145243455663161,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8530166880616175,0.455073800025275
2026,MCAR,20,iterative,239,60,12,0.5407435701553348,0.10528802669562633,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8658536585365854,0.5217542999889702
2026,MCAR,30,mean,239,60,12,0.5830329484978443,0.1484141748484793,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9544287548138639,0.46091429999796674
2026,MCAR,30,median,239,60,12,0.6052602469993775,0.1179720128593395,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9537869062901155,0.4451948000059929
2026,MCAR,30,knn,239,60,12,0.5962994130175057,0.14388179282617589,0.9,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.9255455712451861,0.500931299990043
2026,MCAR,30,iterative,239,60,12,0.6134322900101301,0.1275843348771486,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.920410783055199,0.46770370000740513
2026,MAR,10,mean,239,60,12,0.6762951857404631,0.0727496433716763,0.8333333333333334,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.883183568677792,0.4471062999800779
