experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MNAR_10_KNN_NOGA_RF_SEED123,MNAR,10,knn,NOGA,123,239,60,12,0.9166666666666666,0.9375,0.7894736842105263,0.8571428571428571,0.960847240051348,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_ITERATIVE_NOGA_RF_SEED123,MNAR,10,iterative,NOGA,123,239,60,12,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9704749679075738,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_MEAN_NOGA_RF_SEED123,MNAR,20,mean,NOGA,123,239,60,12,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9152759948652118,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_MEDIAN_NOGA_RF_SEED123,MNAR,20,median,NOGA,123,239,60,12,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.905648267008986,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_KNN_NOGA_RF_SEED123,MNAR,20,knn,NOGA,123,239,60,12,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8851091142490373,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_ITERATIVE_NOGA_RF_SEED123,MNAR,20,iterative,NOGA,123,239,60,12,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8947368421052632,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEAN_NOGA_RF_SEED123,MNAR,30,mean,NOGA,123,239,60,12,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8658536585365854,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEDIAN_NOGA_RF_SEED123,MNAR,30,median,NOGA,123,239,60,12,0.7666666666666667,0.6923076923076923,0.4736842105263157,0.5625,0.8421052631578947,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_KNN_NOGA_RF_SEED123,MNAR,30,knn,NOGA,123,239,60,12,0.8166666666666667,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8478818998716303,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_ITERATIVE_NOGA_RF_SEED123,MNAR,30,iterative,NOGA,123,239,60,12,0.8166666666666667,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8594351732991015,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEAN_NOGA_RF_SEED2026,MCAR,10,mean,NOGA,2026,239,60,12,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.9216944801026956,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEDIAN_NOGA_RF_SEED2026,MCAR,10,median,NOGA,2026,239,60,12,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.913992297817715,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_KNN_NOGA_RF_SEED2026,MCAR,10,knn,NOGA,2026,239,60,12,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.9249037227214376,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_ITERATIVE_NOGA_RF_SEED2026,MCAR,10,iterative,NOGA,2026,239,60,12,0.8166666666666667,0.7,0.7368421052631579,0.717948717948718,0.935173299101412,results/metrics/e1_e2_e3_multiseed.csv
